Participant,File,Utterance #,Transcript,Coding
EAR_12.xlsx,35,,yeah get out while you can this year or this quarter and then next quarter it will be fine if you don't have classes together yeah you should still be nice to her but like* don't hangout with her like* pretend you don't need her in your life i think that's like* a like* and if she notices that oh hell yeah ,
EAR_12.xlsx,36,,be like* no just be like* no yeah and then see like* how she reacts did you tell her you were at a friend's house oh okay she asked if she was good yeah do you like music ,
EAR_12.xlsx,37,,dude tomorrow if you guys aren't sure of where you're gonna go eat can you go to raising cane's just like* only if you're not sure cuz i feel so bad i feel like* he's very ,
EAR_12.xlsx,39,,sarah's nice she's very thoughtful but just like* she's moody mhm she's very caring i don't know what she's thinking oh ,
EAR_12.xlsx,42,,todd was like* 'i study better by myself' and then tina was like* 'that's so hurtful' yeah wait didn't someone say he's into this chinese girl now someone not say that that girl wait maybe ed told me but yeah he's like* into this little other girl now little ,
EAR_12.xlsx,54,,i really wanted the main character doctor to get with 's boyfriend i was like mm i was like* they're so cute together no i don't think she is ,
EAR_12.xlsx,65,,well see it depends i don't know that much about north's mythology but like* see it depends like* for example in greek mythology when it came to zeus hades and poseidon they were they chose what they were the gods of yeah it was like* a thing of like* they basically they cast gods or like* three gods and they chose what they were gonna be because of that and then like* ,
EAR_12.xlsx,91,,oh yeah oh_ yeah yeah i honestly did not wanna be at that fundraiser i was just like* i'm so tired and i was like* what after ,
EAR_12.xlsx,92,,huh i'm sorry what did you say uh a line between a and b and all that mhm we should i think we should put a line between every entry so like* a and in b since there's two make a ,
EAR_12.xlsx,101,,none of them are online_ or not that i could find it's okay i'll just ask my friend hopefully she replies no like* just the answers cuz i asked ,
EAR_12.xlsx,102,,no like* i thought about it but i'm just like* that's pretty cool like* that they're gonna be with me until like* senior year like* i don't have to feel sad that they're leaving me who your big who's your big oh that's cool ,
EAR_12.xlsx,118,,he was like* did i do something wrong okay cuz like* we have nothing in common like* it's just really awkward oh okay well andrew is probably telling them because andrew tells everyone everything but he's a good guy we sit in chinese together oh my god ,
EAR_12.xlsx,120,,how does um like* for concentrations in psychology do you have to declare a minor oh okay so can we choose our concentration oh so you came out of bio ,
EAR_12.xlsx,121,,psych two so we can get some experiments it's okay you just bring it with you and every like* twelve minutes or more it records like* forty seconds mhm but don't worry i can go back and like* listen and delete it i was like* thinking about it 'oh shit i totally forgot' forty seconds twelve minutes or more so i don't know when it's recording yeah but like* yesterday we talked for like* three hours ,
EAR_12.xlsx,125,,yeah mhm yeah who grand marc no they don't whatever they probably forgot about it it's kind of annoying now yeah yeah but like* if you decided to go over right you don't even need to change names ,
EAR_12.xlsx,126,,i don't think so like* i feel like* he was trying really hard and i like* ok like* i appreciate that he was trying really hard but like* i kinda want someone that doesn't have to try that hard do you get what i'm saying i don't know like* he's just like me so it's like* yeah like* i'm kinda the one that initiates everything like* i'm so awkward like* why am i initiating stuff ,
EAR_12.xlsx,127,,yeah no like* if he'd totally drop you off and like* oh yeah wait did sarah bring her car this week or what oh okay mm yeah that's so nice ,
EAR_12.xlsx,130,,yeah she goes home she goes home really early like* this friday she left at like* one two maybe monday night like twentieth mhm and they have cars so they can drive ,
EAR_12.xlsx,131,,yeah like* walking up six flights or like* coming down is like* fine but like* going up like* like* the thought of going up six flights of stairs yeah that sucks ,
EAR_12.xlsx,132,,yeah like* we're so done with him like* i was really mad i was like* 'why did you like* go and ruin this like* friendship like* it was pretty strong already cuz we just met like* one two weeks and it was like* i was like* comfortable with him like* raymond took me kind of long like* it took me like* probably like* a month to like* kind of get used to him being around but like* right yeah okay oh okay but me neither until like* this year ,
EAR_12.xlsx,134,,back anyways i don't know no don't wait they like* okay like* i totally hype you up when you show like* yeah i'll stay with you i'll stay with you okay i don't think so but no oh my god ,
EAR_12.xlsx,209,,i'm so glad she decided not to rush or that she had like* event or whatever events oh yeah i'm so freaking glad like* which one yeah i hate it i hate it so much it sucks so much don't update ,
EAR_12.xlsx,211,,yeah yeah did you tell him everything no like* everything about this whole situation yeah okay wait what do they know okay damn ,
EAR_12.xlsx,212,,basically all of like* our entire group um us three victor raymond and then the house except hansen oh no no no no ed shit did i just add you guys in it and also we're doing like* this christmas thing i feel so bad now but like* when we waited we thought about it but then we were just like* oh but like* hansen is getting you something ,
EAR_12.xlsx,217,,aw yeah that one on the left looks pretty decent yeah like* ,
EAR_12.xlsx,227,,oh wait you know when they get boxes like that wait don't you message him on messenger it still doesn't show ohh hmm time to update but i don't like the new update on the iphone don't get it it really sucks really i don't like it okay like* first of all i don't like this thing like* sometimes when you scroll down you kinda like* hit that and then it goes all black and you're just like* where did it go like that ,
EAR_12.xlsx,248,,oh oh yeah i was thinking yeah i don't think that's weird though like* if i were to do that i'd be sobered up ,
EAR_12.xlsx,263,,um i don't think they're gonna have it next quarter because they start at like* twelve or eleven no not well we did last week but i don't know yeah it recorded though ,
EAR_12.xlsx,303,,i was just like* are you sure don't pay wait raymond was there a lot of good bigs was there ,
EAR_12.xlsx,308,,you play basketball dude i really wanna play huh no no i don't know how to play though like* i just wanna play oh i don't know oh really ,
EAR_12.xlsx,313,,go straight and then turn right cuz he was like* i'm scared yeah i think so thank you bye i'll see you uh i don't know tomorrow maybe bye i'm honestly extremely stressed right now ,
EAR_083.xlsx,34,,the milk milk callie i don't think he gives a fuck callie he just sees food no with his nose with his nose like* he can taste woah holy shit that's gonna be a big dog jackson ,
EAR_083.xlsx,36,,damn that's imma just come what do you mean like* no i can sprint like* look i can ,
EAR_083.xlsx,107,,what do you think our family is like* well hold on the side that all of it it seems it seems well i'll tell you i wanna tell you a fun fact don't let this fact get to you for example your grandfather and his brother two people beat up forty people ,
EAR_083.xlsx,140,,no this this one he picked up this week i do mind if i show you he's like* ,
EAR_083.xlsx,298,,it's more acceptable they would look at me as a they would be like* ,
EAR_083.xlsx,302,,i think you're sick _ i think you're sick like* like* cysts the formation of multiple cysts in one common area of the body is highly ,
EAR_083.xlsx,342,,the milk milk callie i don't think he gives a fuck callie he just sees food no with his nose with his nose like* he can taste woah holy shit that's gonna be a big dog jackson ,
EAR_083.xlsx,344,,damn that's imma just come what do you mean like* no i can sprint like* look i can ,
EAR_083.xlsx,415,,what do you think our family is like* well hold on the side that all of it it seems it seems well i'll tell you i wanna tell you a fun fact don't let this fact get to you for example your grandfather and his brother two people beat up forty people ,
EAR_083.xlsx,448,,no this this one he picked up this week i do mind if i show you he's like* ,
EAR_083.xlsx,606,,it's more acceptable they would look at me as a they would be like* ,
EAR_083.xlsx,610,,i think you're sick _ i think you're sick like* like* cysts the formation of multiple cysts in one common area of the body is highly ,
EAR_056.xlsx,3,,so major depression disorder is basically like* a i feel like we all know about it so it's it's basically like* extremely like* depressed and sad they don't really have like* sometimes they can like* sometimes they can't cuz like* the like* the cause of that that is whether it's external or internal and so it's just a person just feels really sad for a long time and i mean what it says here is that it can be like* cured but it also can't so it kind either ,
EAR_056.xlsx,8,,natasha my research i have to do another research thing and so i'm gonna have like* a secret agent that's gonna record me everytime i have a conversation so i just wanna let you know this conversation may be recorded ,
EAR_056.xlsx,54,,oh oh okay thank you thank you oh okay thank you but wait how do you move it all the way down then it does aye no you put okay and then you were like* no nah let's leave it on just in case and i was like* okay ,
EAR_056.xlsx,56,,internet huh huh who who what about me yeah i couldn't do that cuz i'm used to it i can't influence that i can't believe i didn't know how to say fucking uh i was just so mad i was like* ah ,
EAR_056.xlsx,95,,i need to brush my teeth so are really cold does really do you like them that much i like how you share them to me i'm just like* damn that's such a such a phoebe thing to do it's so cute and innocent and dorky where is this where is this ,
EAR_056.xlsx,98,,yeah but like* ,
EAR_056.xlsx,125,,no like* what's up what hap- it's the cheetos no okay then really oh yeah yeah the fish and chips mhm ,
EAR_056.xlsx,126,,can get drunk like* no problem but like* like* he couldn't control like* a different lifestyle yeah out and he's out at parties too that's totally like you though like* i feel like if you had drink if you were to drink you wouldn't do it out in like* a social event you would do it like him as well ,
EAR_056.xlsx,128,,talk to my ra about it and the ra said no like* ,
EAR_056.xlsx,145,,it's like* a research study on i'm the person yeah i can five hundred dollars its like* brain games i tried to find they make it so interesting though why would you reject it ,
EAR_056.xlsx,185,,but i got uh an eighty what the heck if i had known i wouldn't have i would have maybe like* tried a little harder what the heck and so i was just like* oh i might just i thought that i was just gonna be failing the class but in the end i didn't so i was like* oh okay i think i did it i don't know they haven't given me like* my full grade yet and i wanna know what i got in i turned that shit in late but i also you know i don't really wanna talk about it but i wrote about the i love so i hope my passion was seen through those words those really fast words of mine oh shit this is so hard ,
EAR_056.xlsx,231,,what the what the heck i was like* whoo expecting a ,
EAR_056.xlsx,302,,yeah i wore my wig earlier today yesterday i wasn't i wasn't wearing my hoodie while going to the library to finish our homework cuz my laptop wasn't charged so um and i think uh she was there and saw that i had my hoodie on and i was hiding and he was like* why are you wearing your hoodie on and i'm just like* oh i don't like my hair and he was like* well you look comfortable and i was like* thank you oh wait yesterday i was telling paulina cuz i was like* ,
EAR_056.xlsx,306,,waived their prices for new years day to help kick off the new years new years savings plan and to get home safely on the train or bus on new years day they offered to take you to festivities festivities like* _ in grand park downtown or in rainbow harbor in long beach i myself recently went to the chinese new year festivities in chinatown and had a lot of fun it was the first time for my mother to be on the with me and my sister we were teaching her how to navigate my mother was very surprised with how well we learned the streets went to places downtown she was unaware of and how well we knew the names and situations she was proud that we could navigate the city without her help she also liked the amount of cardio we got in that day taking the metro provides a lot of health benefits because ,
EAR_076.xlsx,4,,i like through instagram um argued about you know cigarettes or weed and there is a cigarettes for life and someone was like* you won't have a life you won't have a life with cigarettes this is funny ,
EAR_076.xlsx,42,,another lost another lost building ya'll had hella stuff i said ya'll had hella stuff like* hella buildings no a lot of buildings like* my dad had that one down the street and i have the one in different states and different cities gone gone to lost ,
EAR_076.xlsx,50,,mhm yeah and you gotta click those those present thing again like* this is too much work mhm ,
EAR_076.xlsx,51,,cuz people in in in they don't even have to be sexual like* i was sitting there i remember with she was telling me she was like* but she's like* she was talking about when she was pregnant she was still working in the fields cuz she was there is no like* she was like* people here are very different when i think so ,
EAR_076.xlsx,52,,well it's because of the united states so to say that we have the same verbal weight like* we don't we literally what what mass other than literally white people killing more white people has there been by any people of color no we haven't committed mass genocide but they have so and then i was just like* you know what i i was like* as a black person i was like* i'm just immediately uncomfortable when i'm surrounded in a room with just white people because i always cuz i look different than all of you and they're looking at me and i i'm like* i don't know their experience with black people i don't know if i'm reinforcing ,
EAR_076.xlsx,53,,i don't feel like she's like* the baby i don't get it yeah it's just like* not close to her we always clash on that but that action doesn't make sense for you to do that cuz when she diets she didn't do any research about it and then did research after she got i'm like* what ,
EAR_076.xlsx,56,,i personally like this one no it doesn't that's why two t mom no two t it's small right that's what i thought that's why i thought it would fit her because like* two t and it's not stretchy but it looks but ,
EAR_076.xlsx,69,,have a mental illness that's gonna make him wanna come and shoot the school you know you don't know his history his background how he's raised so to assume that just because you're black and you automatically have some type of immunity and you're just doing it for jokes is dangerous so regardless it's uh it's kind of a like* sad and scary thing cuz if you were doing it for clout you just fucked up your whole life and if you yeah cuz i mean i feel like* that's what most serial killers do they want their names out there they want some attention ,
EAR_076.xlsx,106,,yeah like* actually said that you didn't invite him he said that you guys didn't invite him so he wasn't going to come which was like* my mom was like* just come very dramatic_oh hi i know ,
EAR_076.xlsx,110,,and then her mom started with the it's not over here there's nothing we're gonna be in the mountains i was like* oh my goodness why are you guys both so dramatic yeah ,
EAR_076.xlsx,120,,like* ending the party i was like* why is she saying that ,
EAR_076.xlsx,137,,yeah we can you wanna change it to the yeah you should tie it like* tie it around with the thingy ,
EAR_076.xlsx,141,,mhm i didn't tell you what happened so i was driving and remember what you alway i always remember what you taught me like* when a car stops next to you don't go no matter what like* if it stopped but i was i was at the front right the light turned green and i started to go and the person next to me is not going so i slowed down cuz i'm like* what like* there a stop but it could've been like* yeah people are usually on their phone so i stopped and it's ,
EAR_076.xlsx,142,,the chairs cuz we can't decorate the tables if we don't know what it looks like that doesn't he was like* oh and then everyone just looked at carlos and he was like* oh well yeah i guess i guess no we didn't have class mhm because we set the tables up and they wanted to put more space and i was like* you don't need that much space whatever yeah ,
EAR_076.xlsx,197,,yeah okay not all day we can move we can move some of that stuff into your car i just need my clothes and like* a tooth brush and whatever so it's not like we're taking everything back huh ,
EAR_076.xlsx,201,,that looks like* max i think two-hundred yeah huh mhm financial aid um they give you an estimate it will probably be in loans what do you mean two we just get our calgrant ,
EAR_076.xlsx,202,,like you but they pay so little to be a corporation i'm like nine dollars ten something yeah and i was like* huh maybe this is not updated ,
EAR_076.xlsx,204,,do we have its really good but it's like* more expensive turkey's good ,
EAR_076.xlsx,208,,you mean like* the fence that he made he hasn't changed ,
EAR_076.xlsx,222,,and that was our mother's day oh my grandpa fell today that was horrifying my car door was open and we have like* this lil thing that he has right and well i don't know what instead of closing my car door to walk to the stairway like* to walk to me he tried to climb over the stairway yeah i get no we'll try right here is anyone coming in please don't hit my car is that reverse yes windows go down go in ,
EAR_076.xlsx,223,,right there argh and then today we both got up late _ and went to and then wendys we tried to go to a resturant they were full and i was like* give up we give up we went down boston market which has like* has chicken they didn't even have any chicken ready yeah mm i was like* i don't want turkey we tried to get at sizzlers we were in that line for ten minutes and had not even made it to the register to sit down ,
EAR_076.xlsx,234,,you should have been like* tough yeah cuz target wants you to free everyday that's what my cousin who used to work she like* if you wanna get a job at target you have to put that you're available anytime i told you don't apply to target and you're like* mhm we don't know no mhm nah ,
EAR_076.xlsx,236,,i'm telling you taxes makes a difference you took a lot because the thing is like* once you work they you're paying into your social security already you're paying into which which depends on maybe your medical might be you know that's what i'm saying like* it could or could not be depending on how they do that if you if i had my w-twos oh might or might check i could give you a better thing i don't really remember if i paid into the medic i think i think we do i think we pay into ,
EAR_076.xlsx,237,,of you know like* i'm like* if real issues not that's not an issue that's just you don't like it they feel like the walls were tacky color i don't you know what i'm saying like* stuff like that i'm always like* mm you think the parking spaces are too small mm no shit like that where really petty and i'm like* that was unhelpful who cares so i was that's how i look at the reviews i'm like* is there actually an issue or are you gonna make it a issue cuz i don't care enough ,
EAR_076.xlsx,266,,it's the same you know i'm saying same with tyler she doesn't care about the struggle she's going through her no you know i was gonna i almost said something i looked at nancy are you gonna say something cuz i'm like* this is not my kid they're just my cousins but i mean they're my cousins that i'm like* the closests to and uh yeah i thought nancy was going to say something i'm like* they're not my kids and i you know i was like* you know i was like* i just grabbed the kids and i went in ,
EAR_076.xlsx,267,,of course they they're i'm telling you they feel empowered because everyone is so um afraid i didn't know that that's ridiculous actually what are they going to do they're not in charge of anything but if let's them let's them be in charge of things like* no if you act like that you shouldn't be in the kitchen doesn't matter ,
EAR_076.xlsx,272,,i guess i guess i saw it because i i at some point it was i don't know i saw it somewhere i think when she first put in there was like* a mistake and so i was yeah i saw it it was like* a mistake where instead of um it being your test score it was like* the amount of points that the the exam was worth so it was flipped and it was we were gonna get like* a over a blank amount of percent of of it was like* it was like* one-twenty-three over like* ,
EAR_076.xlsx,305,,oh my ex _ i was just like* to take a break going off and i was just like* oh my goodness i was just saying like* its stupid i'm like* if you really cared about the community you would get them a present you know its just annoying because we made exception for one person but then let anyone know you know didn't let their exes so i was like* i was mad i'm like* i'm just doing it cu a lot of people like him and the thing is like* everyone who's advocating for him to be prez were were all ,
EAR_076.xlsx,309,,us yeah yeah but cuz i was gonna say like* the i know we did like* a lot of things you could do for us and make but i don't know if you could have it like* with my mom she's do when i'd be like* nauseous and stuff is to you take a um some olive oil and you like* pretty much take a whole garlic sautee it so it leaks into the oil and you scoop up the oil and you drink it ,
EAR_076.xlsx,310,,you haven't what oh how long have you the last time you got what am i trying to say um how long have you been working like* there mm uh the fuck ,
EAR_076.xlsx,312,,she's gonna sing to you cuz she doesn't know how to be quiet when she does things yeah crackhead yeah both yeah she's just rocking back and forth of course you did i just saw her like* fly i ,
EAR_076.xlsx,316,,see this is why i don't come off nice to people because you you're gonna talk to me crazy and i'm not the one see here me wa de de i was like* see that's what i don't bother being nice to people okay no one you know i didn't have any issues me cuz no one was dumb enough to do it i'm not problematic leave me alone i'll tell you how it is and if you feel some type of way like* we can talk like* i've never been um one to you know quickly jump and be all ooh like* their no that's no energy no point to that we could talk if you wanna talk but if she start acting crazy there is not ,
EAR_037.xlsx,1,,yeah no there was once this i went to a elementary school um here cuz i was um i'm i'm gonna be like* a reading tutor yeah so um i went to an american school and then that day it was like* pouring and then i saw ,
EAR_037.xlsx,2,,science is like* hard there's there's a girl in my in my hall she's a physics major yeah and i see her like* struggling and then i told her like* is it like* hard like* i don't know because i see her like* resting and i'm like* uh yeah and i'm like* hm hm is it really that bad she was like* um she's like* are you in any physics um last time i checked the only hard one is only physics forty-one that's the one she's taking right now yeah she said that's her physics experience that's the ,
EAR_037.xlsx,4,,i thought i was gonna get the job but cuz i worked previously like* volunteered in the library so i was like* oh i kinda have like* work experience i can kinda but then um she had like* a lot of applicants and she said they were like* they are all like* good so i was like* ok this is very competitive so i didn't get the job and i kept applying to like* office uh then i got i applied to an elementary school like* is close by the school like* fifteen minutes ,
EAR_037.xlsx,18,,i didn't die i'm still breathing are you going to drive me up to my dorm oh okay yeah i was like* ,
EAR_037.xlsx,22,,me he was like* you have a pretty name yeah bored ,
EAR_037.xlsx,30,,but like* ,
EAR_037.xlsx,31,,is there like* a is there a deadline i'm full ,
EAR_037.xlsx,36,,yeah it's like* she did an she told us an example it was like* a guy um i don't know i don't remember it was like* a guy wrote a song for a girl because think they broke they like* ended the relationship and that's when he realized yeah his song got published and then he was like* he realized like* oh i belong in the music industry weird like* he was welcomed it can be anything in terms ,
EAR_037.xlsx,37,,yeah yes insane uh oh my god there was one the day that um you we were playing mario kart not mario kart super bros in dylan's room and then you were already like* been gone i think we went to your room then we went to richard's room and then ,
EAR_037.xlsx,39,,she said we have to find the max because you don't know what k is and then we have to find the constant she said i have to find both of the variables and yeah she said like* if i solve through one it will give me the answer ,
EAR_037.xlsx,42,,oh okay mhm mhm where like* okay i'll think about it i think so just i just need to like* think about it better no i don't want to do it right now i'm good thank you i don't want to bombard you with other questions you like math yeah yeah ooh it's heavier ,
EAR_037.xlsx,43,,oh it's like* bet oh yeah cuz like* bet i would like* it's like* i won't do anything yeah like* oh no it's like* no it's not that type of context no it's not that type of bet it's like* oh i bet you won't do it like* bet you're context exactly like that ,
EAR_037.xlsx,45,,oh i was so confused i'm like* what's happening cuz i was i was like* got you got you i've never heard this song my mom just puts she puts cumbias and stuff ,
EAR_037.xlsx,53,,let me put on my hoodies huh i look kinda evil i look like a fucking like* monster i mean i had shorts on ugh no it takes so long to fill out okay multiple trips let's make a ,
EAR_037.xlsx,54,,thank you i feel like i already took that break i know i know um i have a lot of shit to do i have to read um i mean i can do my psychology thing like* on the weekend um cuz i don't know what the hell what i read in the beginning cuz cuz i was so distracted with ,
EAR_037.xlsx,55,,monica hasn't even started it yeah the airpods wait what is your server what is like* your carrier oh you getting it from apple there's no apple stores around here ,
EAR_037.xlsx,61,,are you gonna go to sleep you have what you look you look tired well cuz y'all slept til seven what she's like* what ,
EAR_037.xlsx,68,,the alarm that your alarm used to be like* the apple alarm i fucking hate veronica's though it's like* i don't know i forgot but uh i think everyone's eyebags are so ,
EAR_037.xlsx,118,,because you got used to me yeah it's because last quarter it is it is she does last quarter but now she's like* because veronica like* we breathe and then she starts now you know because humor now it's him he got a hundred dollars why why is it damn look ,
EAR_037.xlsx,130,,yeah she told me that yeah she said like* oh she wants to change into english but she doesn't know she's like* oh she said you should still do creative writing ,
EAR_037.xlsx,132,,my glasses my glasses it's just like* for reading on the computer ,
EAR_037.xlsx,142,,nope it's like* a can drink you share it no you with us ,
EAR_037.xlsx,188,,um in the settings and then you go to like* iphone it's like* at touch id and passcode something like that and then just turn it off mm mm ,
EAR_037.xlsx,279,,what happened spilled what or you could like* first put it in the little cup and then when it starts like* being less you can start it ,
EAR_037.xlsx,298,,throwing this away eat bread you wanna go get dessert oh i have like* no type of ,
EAR_037.xlsx,299,,no it's like* you can't be here cuz that's the that's just a way to get ,
EAR_060.xlsx,32,,he's just yelling i guess the louder his voice is the more we'll listen to him it's like* seventeen fourteen ,
EAR_060.xlsx,139,,that was like* dry ,
EAR_24.xlsx,6,,oh okay got it yeah yeah so i'm taking fourteen credits i have too much time in my i swear cuz monday wednesday friday i'm done with class like* before twelve and then tuesday and thursday like* i'm it's the same time too but then because of my jazz class i don't i don't have class i have a big gap until like* six yeah ,
EAR_24.xlsx,94,,and i got research for it but it was so stupid because they selected people by random and and it was weird cuz they didn't ask them oh what languages do you speak like* it would have made more sense if they asked people that that way they can get like* a variety of languages like how you hear people speaking not just um english and spanish you know what i mean but they didn't do that i'm like* that's weird they should've done it and so i have to be wearing that shit cuz i have to carry it with me all the way until monday and i'm like* this is gonna be interesting because i'm not gonna cuz i'm gonna go to disneyland on sunday so there's gonna be a lot of ,
EAR_24.xlsx,95,,dude my fucking manager ashley okay you know remember benny remember benny from lee high when he used to work for the company yeah so he knows ashley he knows her and he they all used to work with her and he told me like* like* how bad she is and how shitty of a person she is but i didn't like* most so i was like* okay whatever um until recently like* i swear i don't even know why the fuck people don't fucking like me and and i when it comes to work tamul hated me and didn't me and tamul didn't ,
EAR_24.xlsx,96,,if they don't like* let's say they don't make me work more and then um i take two weeks off i'm gonna lose a whole check for that time and it's gonna suck on my part because when i don't receive a check for those full for those two full weeks i didn't work um the beginning of the month starts and that's when all my bills come in so i'm not gonna have money to be paying my bills i'm paying off my computer my health insurance my disney pass um and then ,
EAR_24.xlsx,100,,like cuz when we're here it feels humid over there over there is not humid like* you don't feel the humid over there i love it which one oh for what oh yeah you told me barely how late mhm ,
EAR_24.xlsx,105,,like* got replaced and then no but there was another one before that one and was in it yeah no there's one where it's like* him and his daughter it is is it oh ,
EAR_24.xlsx,112,,to help you but like* ,
EAR_24.xlsx,119,,online i don't know like* if it's i'm scared that i i might've it on there uh seven one four three four three seven four nine six and this is only online huh it wasn't letting me order online it kept declining my card and then also um since i live on campus in college i don't wanna order from here and have it not come ,
EAR_24.xlsx,120,,i don't know why it didn't oh cuz that one they don't they didn't have it i remember last time i went yeah they didn't have it it's just like* i don't know i know but i'm not that kind of person to like you like* as friends for attention ,
EAR_24.xlsx,132,,dude it's like* nine and like* the movie ,
EAR_24.xlsx,143,,i mean i don't know i still wouldn't go i'm so mad freakin austin got skyrim on vr so that's what he was playing i'm like* fuck you he's like* you're not even here and i'm like* i know yeah yeah ,
EAR_24.xlsx,145,,i don't understand either and you can tell like* the looks on the workers they wanted to kill her you're like* fuck like* already getting ready to close and you bust this shit i didn't see her face ,
EAR_24.xlsx,158,,no dude he i got i got so it was like* hitting me like* i wanted more i can't see ,
EAR_24.xlsx,164,,yeah yeah i was like* what foundation do you use how much was it ten ,
EAR_24.xlsx,177,,like* people call about him at the like* on the drill line and they complain about how racist he is he is he's very political yeah ,
EAR_33.xlsx,11,,squeaks and it's just silent it's like* wow this is so depressing ugh nope fine ,
EAR_33.xlsx,50,,his nails are _ i'm i'm scared to cut them yeah i don't think they're gonna grow longer but oh like a scratching thing you have a tortoise oh cuz um i know they have like* salt like* things but i feed him he likes ,
EAR_33.xlsx,52,,we didn't go to paradise pier or anything i mean i am but it's just like* i don't wanna pull an erica and go by myself you know oh because she's my ride home and i don't wanna be like* i don't i mean i could've been like* aw i'm going to go find like* klarissa and them because klarissa and like* emily and them went to they were at the pier cuz they like* bought drinks and stuff but oh fuck that so i was like* it's fine ew i just ugh i didn't wanna say anything cuz i was like* i didn't drive so it's fine ,
EAR_33.xlsx,53,,i'm just i'm so she'd always be like* i'm so done with him he's so not worth it blah blah blah okay let's go buy some _ can you like* not ,
EAR_33.xlsx,80,,it was yeah and then chatter moved it it's like* it's like* it's not that deep but chatter likes to like* dig that's why _ yeah i'm gonna get him a new cage and a hamster ball tomorrow no i just he needs a bigger cage to survive huh ,
EAR_33.xlsx,82,,um i can't what is the word it's like* huh ,
EAR_33.xlsx,130,,okay on your on your wheel he kicks up the full like* bottom yeah it's like* he goes from here to like* here on this is the wheel lemme see _ lemme show you from here to here _ it's big yeah i know that's why i'm like* um ,
EAR_33.xlsx,131,,you get used to it _ oh my god feel this fucking thing we're having here no but has like* dwarf hamsters yeah he doesn't have the same hamster as us so can't say shit i know cuz i haven't done laundry that's why ,
EAR_33.xlsx,157,,yeah this is my this is the love of my life i i'm so torn i don't know if i like anymore oh what's it called we went to pick up oh my god i'm crying i'm so happy i'm so excited i saw what's it called there's this tweet on twitter and it was like* kpop stan culture is buying a clear phone case so you can put a photo parting of that and i was like* yeah i feel really ,
EAR_33.xlsx,158,,was it the r service what is that one what do you do uhuh oh it's like minesweeper that like* shit on the computer from like* nineteen ninety oh oh okay that's cute ,
EAR_33.xlsx,160,,i need to _ the only reason why i do this is so i can take pictures of it i know i love yeah look hold on wait i'll show you i literally i stand for like* half the ,
EAR_33.xlsx,166,,alex bro alex m just texted me oh she like* messaged me on facebook all of a sudden right and she was like* oh my god is isaac gonna cry and i was like* yes he is and he did yes the whole like* the whole jessica thing and how it actually wasn't jessica and like* i think that it was that and then plus like* he he was just going through some family shit like* can you check and make sure my phone is in there ,
